,trial,set,rel,t1,t2,p1,p2,list,prime,target,target.len,target.freq,response,time,participant,list,item
28,30,m,u,u,t052,u,p052,l1,tower,fury,4,1088,word,343,1,1,ut052
,,,,,,,,,,,,,,,,,
29,31,m,u,u,t075,u,p075,l1,couch,status,6,9196,word,532,1,1,ut075
,,,,,,,,,,,,,,,,,
30,32,m,n,n,t046,n,p046,l1,skate,dird,4,,word,407,1,1,nt046
,,,,,,,,,,,,,,,,,
31,33,m,n,n,t174,n,p174,l1,tooth,wetition,8,,nonword,455,1,1,nt174
,,,,,,,,,,,,,,,,,
32,34,m,n,n,t182,n,p182,l1,magnet,solox,5,,nonword,513,1,1,nt182
,,,,,,,,,,,,,,,,,
33,35,m,n,n,t074,n,p074,l1,eraser,faney,5,,word,323,1,1,nt074
,,,,,,,,,,,,,,,,,
34,36,m,n,n,t133,n,p133,l1,fin,bleng,5,,nonword,380,1,1,nt133
,,,,,,,,,,,,,,,,,
35,37,m,n,n,t036,n,p036,l1,goat,creighth,8,,nonword,363,1,1,nt036
,,,,,,,,,,,,,,,,,
36,38,m,n,n,t090,n,p090,l1,turnip,frell,5,,nonword,468,1,1,nt090
,,,,,,,,,,,,,,,,,
37,39,m,n,n,t087,n,p087,l1,weasel,relerend,8,,nonword,433,1,1,nt087
,,,,,,,,,,,,,,,,,
38,40,m,u,u,t020,u,p020,l1,market,camp,4,4446,word,427,1,1,ut020
,,,,,,,,,,,,,,,,,
39,41,m,r,m,p043,m,t043,l1,secretary,letter,6,21025,word,554,1,1,mp043
,,,,,,,,,,,,,,,,,
40,42,m,n,n,t150,n,p150,l1,cathedral,smeater,7,,word,650,1,1,nt150
,,,,,,,,,,,,,,,,,
41,43,m,u,u,t099,u,p099,l1,spade,socks,5,1166,word,453,1,1,ut099
,,,,,,,,,,,,,,,,,
42,44,m,u,u,t053,u,p053,l1,birth,literature,10,5161,nonword,263,1,1,ut053
,,,,,,,,,,,,,,,,,
43,45,m,n,n,t115,n,p115,l1,fire,caltus,6,,nonword,500,1,1,nt115
,,,,,,,,,,,,,,,,,
44,46,m,n,n,t106,n,p106,l1,socket,talace,6,,nonword,353,1,1,nt106
,,,,,,,,,,,,,,,,,
45,47,m,n,n,t123,n,p123,l1,kettle,nounge,6,,word,307,1,1,nt123
,,,,,,,,,,,,,,,,,
46,48,m,n,n,t147,n,p147,l1,pin,vub,3,,nonword,443,1,1,nt147
,,,,,,,,,,,,,,,,,
47,49,m,u,u,t071,u,p071,l1,caribou,dignity,7,1276,word,505,1,1,ut071
,,,,,,,,,,,,,,,,,
48,50,m,n,n,t027,n,p027,l1,stone,mimo,4,,nonword,442,1,1,nt027
,,,,,,,,,,,,,,,,,
49,51,m,u,u,t072,u,p072,l1,settlement,joy,3,3121,nonword,338,1,1,ut072
,,,,,,,,,,,,,,,,,
50,52,m,n,n,t033,n,p033,l1,spoon,orteed,6,,nonword,512,1,1,nt033
,,,,,,,,,,,,,,,,,
51,53,m,n,n,t109,n,p109,l1,biscuit,pedu,4,,nonword,433,1,1,nt109
,,,,,,,,,,,,,,,,,
52,54,m,u,u,t044,u,p044,l1,leopard,kindness,8,706,word,244,1,1,ut044
,,,,,,,,,,,,,,,,,
53,55,m,n,n,t140,n,p140,l1,drapes,trellock,8,,nonword,266,1,1,nt140
,,,,,,,,,,,,,,,,,
54,56,m,u,u,t087,u,p087,l1,scarf,passion,7,2463,word,373,1,1,ut087
,,,,,,,,,,,,,,,,,
55,57,m,n,n,t184,n,p184,l1,dishcloth,microscone,10,,nonword,375,1,1,nt184
,,,,,,,,,,,,,,,,,
56,58,m,n,n,t168,n,p168,l1,bluejay,reast,5,,word,258,1,1,nt168
,,,,,,,,,,,,,,,,,
57,59,m,n,n,t042,n,p042,l1,layman,rancer,6,,nonword,332,1,1,nt042
,,,,,,,,,,,,,,,,,
58,60,m,n,n,t031,n,p031,l1,starling,slote,5,,nonword,423,1,1,nt031
,,,,,,,,,,,,,,,,,
59,61,m,u,u,t093,u,p093,l1,farm,label,5,2849,word,379,1,1,ut093
,,,,,,,,,,,,,,,,,
60,62,m,n,n,t169,n,p169,l1,purse,fugari,6,,nonword,333,1,1,nt169
,,,,,,,,,,,,,,,,,
61,63,m,n,n,t159,n,p159,l1,thumb,saquest,7,,nonword,323,1,1,nt159
,,,,,,,,,,,,,,,,,
62,64,m,u,m,p064,m,t063,l1,composer,accountant,10,2172,word,341,1,1,mp064
,,,,,,,,,,,,,,,,,
63,65,m,n,n,t190,n,p190,l1,bridge,ornalence,9,,nonword,470,1,1,nt190
,,,,,,,,,,,,,,,,,
64,66,m,n,n,t122,n,p122,l1,broadcast,spoble,6,,word,333,1,1,nt122
,,,,,,,,,,,,,,,,,
65,67,m,n,n,t063,n,p063,l1,olive,lourse,6,,nonword,325,1,1,nt063
,,,,,,,,,,,,,,,,,
66,68,m,u,m,p062,m,t061,l1,metalworker,weight,6,9181,word,481,1,1,mp062
,,,,,,,,,,,,,,,,,
67,69,m,u,m,p078,m,t077,l1,musician,enemy,5,4597,nonword,432,1,1,mp078
,,,,,,,,,,,,,,,,,
68,70,m,u,m,p056,m,t055,l1,batter,tourist,7,3456,word,443,1,1,mp056
,,,,,,,,,,,,,,,,,
69,71,m,r,m,p006,m,t006,l1,grandfather,grandchildren,13,493,word,313,1,1,mp006
,,,,,,,,,,,,,,,,,
70,72,m,n,n,t127,n,p127,l1,lake,hounge,6,,word,264,1,1,nt127
,,,,,,,,,,,,,,,,,
71,73,m,u,u,t025,u,p025,l1,shrub,core,4,3570,nonword,272,1,1,ut025
,,,,,,,,,,,,,,,,,
72,74,m,r,m,p009,m,t009,l1,shepherd,lambs,5,3,word,309,1,1,mp009
,,,,,,,,,,,,,,,,,
73,75,m,n,n,t078,n,p078,l1,rocker,bipe,4,,word,306,1,1,nt078
,,,,,,,,,,,,,,,,,
74,76,m,n,n,t118,n,p118,l1,gorilla,flutch,6,,nonword,484,1,1,nt118
,,,,,,,,,,,,,,,,,
75,77,m,n,n,t142,n,p142,l1,rhubarb,pait,4,,word,502,1,1,nt142
,,,,,,,,,,,,,,,,,
76,78,m,r,m,p015,m,t015,l1,technician,television,10,9921,word,579,1,1,mp015
,,,,,,,,,,,,,,,,,
77,79,m,u,u,t073,u,p073,l1,layer,outcry,6,291,nonword,276,1,1,ut073
,,,,,,,,,,,,,,,,,
78,80,m,u,m,p080,m,t079,l1,child,meal,4,6532,word,373,1,1,mp080
,,,,,,,,,,,,,,,,,
79,81,m,n,n,t025,n,p025,l1,dish,kess,4,,nonword,481,1,1,nt025
,,,,,,,,,,,,,,,,,
80,82,m,n,n,t028,n,p028,l1,plug,nuck,4,,nonword,738,1,1,nt028
,,,,,,,,,,,,,,,,,
81,83,m,n,n,t113,n,p113,l1,worship,lish,4,,nonword,321,1,1,nt113
,,,,,,,,,,,,,,,,,
82,84,m,n,n,t047,n,p047,l1,rack,shib,4,,nonword,392,1,1,nt047
,,,,,,,,,,,,,,,,,
83,85,m,r,m,p034,m,t034,l1,moviemaker,blockbuster,11,163,word,435,1,1,mp034
,,,,,,,,,,,,,,,,,
84,86,m,n,n,t131,n,p131,l1,sedan,bove,4,,nonword,322,1,1,nt131
,,,,,,,,,,,,,,,,,
85,87,m,n,n,t051,n,p051,l1,brush,weg,3,,nonword,422,1,1,nt051
,,,,,,,,,,,,,,,,,
86,88,m,n,n,t120,n,p120,l1,banana,smill,5,,nonword,279,1,1,nt120
,,,,,,,,,,,,,,,,,
87,89,m,r,m,p014,m,t014,l1,writer,story,5,17882,word,343,1,1,mp014
,,,,,,,,,,,,,,,,,
88,90,m,u,m,p070,m,t069,l1,parent,dinner,6,6277,word,576,1,1,mp070
,,,,,,,,,,,,,,,,,
89,91,m,u,m,p087,m,t086,l1,blacksmith,joint,5,6423,word,336,1,1,mp087
,,,,,,,,,,,,,,,,,
90,92,m,n,n,t166,n,p166,l1,mark,jeir,4,,nonword,373,1,1,nt166
,,,,,,,,,,,,,,,,,
91,93,m,u,u,t045,u,p045,l1,amount,table,5,22131,word,387,1,1,ut045
,,,,,,,,,,,,,,,,,
92,94,m,n,n,t124,n,p124,l1,zeal,noredom,7,,nonword,164,1,1,nt124
,,,,,,,,,,,,,,,,,
93,95,m,n,n,t050,n,p050,l1,iguana,jottabe,7,,word,289,1,1,nt050
,,,,,,,,,,,,,,,,,
94,96,m,n,n,t043,n,p043,l1,freezer,froabin,7,,nonword,407,1,1,nt043
,,,,,,,,,,,,,,,,,
95,97,m,n,n,t070,n,p070,l1,pig,parwon,6,,nonword,248,1,1,nt070
,,,,,,,,,,,,,,,,,
96,98,m,n,n,t054,n,p054,l1,establishment,brophy,6,,word,291,1,1,nt054
,,,,,,,,,,,,,,,,,
97,99,m,u,u,t054,u,p054,l1,tongue,candle,6,1526,nonword,299,1,1,ut054
,,,,,,,,,,,,,,,,,
98,100,m,u,u,t060,u,p060,l1,parliament,satisfaction,12,2866,word,407,1,1,ut060
,,,,,,,,,,,,,,,,,
99,101,m,n,n,t146,n,p146,l1,cottage,tweller,7,,word,316,1,1,nt146
,,,,,,,,,,,,,,,,,
100,102,m,n,n,t154,n,p154,l1,manure,typocrisy,9,,nonword,530,1,1,nt154
,,,,,,,,,,,,,,,,,
101,103,m,r,m,p005,m,t005,l1,general,troop,5,5269,word,623,1,1,mp005
,,,,,,,,,,,,,,,,,
102,104,m,n,n,t155,n,p155,l1,ball,chig,4,,nonword,311,1,1,nt155
,,,,,,,,,,,,,,,,,
103,105,m,n,n,t114,n,p114,l1,wealth,gredins,7,,nonword,321,1,1,nt114
,,,,,,,,,,,,,,,,,
104,106,m,n,n,t021,n,p021,l1,version,zisle,5,,nonword,301,1,1,nt021
,,,,,,,,,,,,,,,,,
105,107,m,u,m,p079,m,t078,l1,glutton,piano,5,2040,nonword,254,1,1,mp079
,,,,,,,,,,,,,,,,,
106,108,m,u,u,t016,u,p016,l1,accident,ambition,8,2287,word,464,1,1,ut016
,,,,,,,,,,,,,,,,,
107,109,m,u,m,p048,m,t047,l1,speaker,yards,5,6634,word,345,1,1,mp048
,,,,,,,,,,,,,,,,,
108,110,m,u,u,t088,u,p088,l1,rain,viewpoint,9,1156,word,394,1,1,ut088
,,,,,,,,,,,,,,,,,
109,111,m,n,n,t177,n,p177,l1,contour,nurrent,7,,nonword,276,1,1,nt177
,,,,,,,,,,,,,,,,,
110,112,m,u,u,t026,u,p026,l1,lecture,bride,5,1235,word,261,1,1,ut026
,,,,,,,,,,,,,,,,,
111,113,m,u,u,t017,u,p017,l1,nozzle,monitor,7,3532,nonword,312,1,1,ut017
,,,,,,,,,,,,,,,,,
112,114,m,n,n,t158,n,p158,l1,napkin,kister,6,,word,292,1,1,nt158
,,,,,,,,,,,,,,,,,
113,115,m,u,m,p068,m,t067,l1,dancer,friend,6,30888,word,361,1,1,mp068
,,,,,,,,,,,,,,,,,
114,116,m,n,n,t064,n,p064,l1,mushroom,gleard,6,,nonword,308,1,1,nt064
,,,,,,,,,,,,,,,,,
115,117,m,n,n,t126,n,p126,l1,reach,traph,5,,nonword,307,1,1,nt126
,,,,,,,,,,,,,,,,,
116,118,m,n,n,t181,n,p181,l1,vine,pognition,9,,nonword,394,1,1,nt181
,,,,,,,,,,,,,,,,,
117,119,m,r,m,p036,m,t036,l1,reader,line,4,33159,word,385,1,1,mp036
,,,,,,,,,,,,,,,,,
118,120,m,r,m,p003,m,t003,l1,detective,street,6,23549,word,399,1,1,mp003
,,,,,,,,,,,,,,,,,
119,121,m,n,n,t186,n,p186,l1,wreath,veggi,5,,nonword,407,1,1,nt186
,,,,,,,,,,,,,,,,,
120,122,m,n,n,t161,n,p161,l1,atlas,anory,5,,nonword,671,1,1,nt161
,,,,,,,,,,,,,,,,,
121,123,m,u,u,t090,u,p090,l1,defection,pleasure,8,5570,word,272,1,1,ut090
,,,,,,,,,,,,,,,,,
122,124,m,n,n,t134,n,p134,l1,parka,tald,4,,nonword,328,1,1,nt134
,,,,,,,,,,,,,,,,,
123,125,m,u,u,t094,u,p094,l1,hat,despair,7,1260,word,383,1,1,ut094
,,,,,,,,,,,,,,,,,
124,126,m,u,u,t102,u,p102,l1,graduate,measles,7,239,nonword,297,1,1,ut102
,,,,,,,,,,,,,,,,,
125,127,m,n,n,t029,n,p029,l1,papaya,jalen,5,,nonword,595,1,1,nt029
,,,,,,,,,,,,,,,,,
126,128,m,n,n,t056,n,p056,l1,marble,voresee,7,,nonword,482,1,1,nt056
,,,,,,,,,,,,,,,,,
127,129,m,n,n,t160,n,p160,l1,palace,pattress,8,,word,316,1,1,nt160
,,,,,,,,,,,,,,,,,
128,130,m,u,u,t018,u,p018,l1,outfit,encouragement,13,1476,word,486,1,1,ut018
,,,,,,,,,,,,,,,,,
129,131,m,n,n,t076,n,p076,l1,axle,nenployment,11,,nonword,389,1,1,nt076
,,,,,,,,,,,,,,,,,
130,132,m,u,u,t067,u,p067,l1,appointment,bone,4,4555,word,314,1,1,ut067
,,,,,,,,,,,,,,,,,
131,133,m,n,n,t136,n,p136,l1,buffet,moadey,6,,nonword,299,1,1,nt136
,,,,,,,,,,,,,,,,,
132,134,m,u,u,t080,u,p080,l1,anniversary,research,8,25538,word,322,1,1,ut080
,,,,,,,,,,,,,,,,,
133,135,m,n,n,t038,n,p038,l1,rhinoceros,founte,6,,nonword,525,1,1,nt038
,,,,,,,,,,,,,,,,,
134,136,m,u,u,t078,u,p078,l1,drill,psychologist,12,1380,word,254,1,1,ut078
,,,,,,,,,,,,,,,,,
135,137,m,n,n,t079,n,p079,l1,hornet,gerse,5,,nonword,244,1,1,nt079
,,,,,,,,,,,,,,,,,
136,138,m,u,m,p069,m,t068,l1,chef,ankle,5,1422,word,345,1,1,mp069
,,,,,,,,,,,,,,,,,
137,139,m,n,n,t020,n,p020,l1,basement,traxle,6,,nonword,316,1,1,nt020
,,,,,,,,,,,,,,,,,
138,140,m,u,u,t022,u,p022,l1,tree,mood,4,3536,nonword,282,1,1,ut022
,,,,,,,,,,,,,,,,,
139,141,m,n,n,t096,n,p096,l1,banner,clection,8,,word,529,1,1,nt096
,,,,,,,,,,,,,,,,,
140,142,m,n,n,t135,n,p135,l1,flamingo,grend,5,,nonword,470,1,1,nt135
,,,,,,,,,,,,,,,,,
141,143,m,u,u,t031,u,p031,l1,elevator,turmoil,7,530,word,778,1,1,ut031
,,,,,,,,,,,,,,,,,
142,144,m,n,n,t103,n,p103,l1,loan,exdences,8,,nonword,474,1,1,nt103
,,,,,,,,,,,,,,,,,
143,145,m,n,n,t030,n,p030,l1,nail,lenetrode,9,,nonword,307,1,1,nt030
,,,,,,,,,,,,,,,,,
144,146,m,n,n,t108,n,p108,l1,hovercraft,hingle,6,,word,384,1,1,nt108
,,,,,,,,,,,,,,,,,
145,147,m,u,m,p066,m,t065,l1,cook,match,5,8922,word,347,1,1,mp066
,,,,,,,,,,,,,,,,,
146,148,m,n,n,t129,n,p129,l1,cotton,vortress,8,,nonword,315,1,1,nt129
,,,,,,,,,,,,,,,,,
147,149,m,u,m,p054,m,t053,l1,immigrant,hand,4,50279,nonword,312,1,1,mp054
,,,,,,,,,,,,,,,,,
148,150,m,u,u,t061,u,p061,l1,clearance,adolescence,11,455,word,395,1,1,ut061
,,,,,,,,,,,,,,,,,
149,151,m,u,u,t043,u,p043,l1,wedding,motor,5,4705,word,352,1,1,ut043
,,,,,,,,,,,,,,,,,
150,152,m,u,u,t047,u,p047,l1,liquid,success,7,14175,nonword,421,1,1,ut047
,,,,,,,,,,,,,,,,,
151,153,m,n,n,t183,n,p183,l1,nylons,varish,6,,nonword,620,1,1,nt183
,,,,,,,,,,,,,,,,,
152,154,m,n,n,t034,n,p034,l1,tiger,speight,7,,nonword,630,1,1,nt034
,,,,,,,,,,,,,,,,,
153,155,m,u,u,t083,u,p083,l1,earth,peddler,7,13,word,267,1,1,ut083
,,,,,,,,,,,,,,,,,
154,156,m,u,u,t056,u,p056,l1,threat,shirt,5,3383,word,332,1,1,ut056
,,,,,,,,,,,,,,,,,
155,157,m,u,u,t034,u,p034,l1,corral,elation,7,153,word,354,1,1,ut034
,,,,,,,,,,,,,,,,,
156,158,m,u,m,p082,m,t081,l1,gardener,tire,4,317,word,371,1,1,mp082
,,,,,,,,,,,,,,,,,
157,159,m,n,n,t185,n,p185,l1,employee,cloi,4,,nonword,383,1,1,nt185
,,,,,,,,,,,,,,,,,
158,160,m,n,n,t107,n,p107,l1,platypus,neak,4,,nonword,535,1,1,nt107
,,,,,,,,,,,,,,,,,
159,161,m,n,n,t061,n,p061,l1,trolley,gaty,4,,nonword,299,1,1,nt061
,,,,,,,,,,,,,,,,,
160,162,m,n,n,t098,n,p098,l1,lemon,tofic,5,,nonword,847,1,1,nt098
,,,,,,,,,,,,,,,,,
161,163,m,u,u,t058,u,p058,l1,alley,jacuzzi,7,78,nonword,428,1,1,ut058
,,,,,,,,,,,,,,,,,
162,164,m,n,n,t035,n,p035,l1,dustpan,jeizure,7,,nonword,334,1,1,nt035
,,,,,,,,,,,,,,,,,
163,165,m,n,n,t077,n,p077,l1,razor,yine,4,,word,338,1,1,nt077
,,,,,,,,,,,,,,,,,
164,166,m,u,m,p076,m,t075,l1,criminal,light,5,20028,nonword,350,1,1,mp076
,,,,,,,,,,,,,,,,,
165,167,m,u,m,p057,m,t056,l1,woman,base,4,19201,word,379,1,1,mp057
,,,,,,,,,,,,,,,,,
166,168,m,u,m,p067,m,t066,l1,tattletale,lunch,5,5481,word,334,1,1,mp067
,,,,,,,,,,,,,,,,,
167,169,m,n,n,t138,n,p138,l1,gland,rixy,4,,word,332,1,1,nt138
,,,,,,,,,,,,,,,,,
168,170,m,u,u,t042,u,p042,l1,moose,suspicion,9,2161,word,529,1,1,ut042
,,,,,,,,,,,,,,,,,
169,171,m,n,n,t083,n,p083,l1,doll,jamp,4,,word,392,1,1,nt083
,,,,,,,,,,,,,,,,,
170,172,m,n,n,t024,n,p024,l1,broccoli,lerve,5,,nonword,502,1,1,nt024
,,,,,,,,,,,,,,,,,
171,173,m,r,m,p002,m,t002,l1,attorney,witness,7,3246,word,518,1,1,mp002
,,,,,,,,,,,,,,,,,
172,174,m,u,u,t033,u,p033,l1,flood,madness,7,779,word,642,1,1,ut033
,,,,,,,,,,,,,,,,,
173,175,m,r,m,p023,m,t023,l1,photographer,film,4,13428,word,431,1,1,mp023
,,,,,,,,,,,,,,,,,
174,176,m,r,m,p033,m,t033,l1,marine,rifle,5,983,word,343,1,1,mp033
,,,,,,,,,,,,,,,,,
175,177,m,u,m,p046,m,t045,l1,boxer,furniture,9,3457,word,345,1,1,mp046
,,,,,,,,,,,,,,,,,
176,178,m,u,u,t028,u,p028,l1,admission,instinct,8,1715,word,300,1,1,ut028
,,,,,,,,,,,,,,,,,
177,179,m,u,m,p047,m,t046,l1,quarterback,punch,5,1392,word,344,1,1,mp047
,,,,,,,,,,,,,,,,,
178,180,m,n,n,t179,n,p179,l1,cactus,troom,5,,nonword,370,1,1,nt179
,,,,,,,,,,,,,,,,,
179,181,m,r,m,p010,m,t010,l1,sailor,rope,4,2073,word,268,1,1,mp010
,,,,,,,,,,,,,,,,,
180,182,m,r,m,p008,m,t008,l1,nanny,diaper,6,41,word,563,1,1,mp008
,,,,,,,,,,,,,,,,,
181,183,m,n,n,t058,n,p058,l1,elephant,rix,3,,nonword,319,1,1,nt058
,,,,,,,,,,,,,,,,,
182,184,m,u,u,t076,u,p076,l1,recess,honesty,7,701,word,348,1,1,ut076
,,,,,,,,,,,,,,,,,
183,185,m,u,u,t046,u,p046,l1,arcade,comedy,6,1525,word,355,1,1,ut046
,,,,,,,,,,,,,,,,,
184,186,m,n,n,t167,n,p167,l1,bear,worpse,6,,word,340,1,1,nt167
,,,,,,,,,,,,,,,,,
185,187,m,u,u,t069,u,p069,l1,shark,essence,7,1927,word,377,1,1,ut069
,,,,,,,,,,,,,,,,,
186,188,m,u,u,t048,u,p048,l1,parakeet,kidnapper,9,249,word,532,1,1,ut048
,,,,,,,,,,,,,,,,,
187,189,m,u,m,p063,m,t062,l1,boss,weapon,6,5858,nonword,318,1,1,mp063
,,,,,,,,,,,,,,,,,
188,190,m,u,u,t029,u,p029,l1,saddle,apathy,6,275,nonword,592,1,1,ut029
,,,,,,,,,,,,,,,,,
189,191,m,n,n,t097,n,p097,l1,wheel,chennal,7,,nonword,542,1,1,nt097
,,,,,,,,,,,,,,,,,
190,192,m,u,u,t086,u,p086,l1,pit,impulse,7,1117,word,537,1,1,ut086
,,,,,,,,,,,,,,,,,
191,193,m,u,u,t041,u,p041,l1,hint,passport,8,1048,word,391,1,1,ut041
,,,,,,,,,,,,,,,,,
192,194,m,n,n,t094,n,p094,l1,rank,glealth,7,,nonword,412,1,1,nt094
,,,,,,,,,,,,,,,,,
193,195,m,n,n,t193,n,p193,l1,cabinet,tarsie,6,,nonword,472,1,1,nt193
,,,,,,,,,,,,,,,,,
194,196,m,u,u,t035,u,p035,l1,chapter,mineral,7,2259,word,424,1,1,ut035
,,,,,,,,,,,,,,,,,
195,197,m,u,u,t091,u,p091,l1,engineer,violin,6,691,word,634,1,1,ut091
,,,,,,,,,,,,,,,,,
196,198,m,n,n,t152,n,p152,l1,fawn,clectane,8,,nonword,477,1,1,nt152
,,,,,,,,,,,,,,,,,
197,199,m,u,m,p074,m,t073,l1,smoker,results,7,33206,word,338,1,1,mp074
,,,,,,,,,,,,,,,,,
198,200,m,u,u,t096,u,p096,l1,crisis,silence,7,5235,word,734,1,1,ut096
,,,,,,,,,,,,,,,,,
199,201,m,n,n,t085,n,p085,l1,blender,yorman,6,,nonword,479,1,1,nt085
,,,,,,,,,,,,,,,,,
200,202,m,u,u,t082,u,p082,l1,saucepan,wing,4,5160,word,527,1,1,ut082
,,,,,,,,,,,,,,,,,
201,203,m,n,n,t092,n,p092,l1,tray,feap,4,,nonword,515,1,1,nt092
,,,,,,,,,,,,,,,,,
202,204,m,n,n,t111,n,p111,l1,mop,starb,5,,word,460,1,1,nt111
,,,,,,,,,,,,,,,,,
203,205,m,r,m,p025,m,t025,l1,student,class,5,23863,word,370,1,1,mp025
,,,,,,,,,,,,,,,,,
204,206,m,n,n,t081,n,p081,l1,birch,janer,5,,nonword,265,1,1,nt081
,,,,,,,,,,,,,,,,,
205,207,m,n,n,t053,n,p053,l1,tomb,vedigree,8,,nonword,636,1,1,nt053
,,,,,,,,,,,,,,,,,
206,208,m,u,u,t059,u,p059,l1,consultant,distortion,10,924,word,269,1,1,ut059
,,,,,,,,,,,,,,,,,
207,209,m,r,m,p042,m,t042,l1,housekeeper,leftovers,9,58,nonword,430,1,1,mp042
,,,,,,,,,,,,,,,,,
208,210,m,u,u,t027,u,p027,l1,drum,description,11,6527,word,458,1,1,ut027
,,,,,,,,,,,,,,,,,
209,211,m,n,n,t116,n,p116,l1,suitcase,dexi,4,,word,357,1,1,nt116
,,,,,,,,,,,,,,,,,
210,212,m,u,m,p075,m,t074,l1,policeman,habit,5,3839,word,508,1,1,mp075
,,,,,,,,,,,,,,,,,
211,213,m,r,m,p018,m,t018,l1,worker,machinery,9,2403,word,290,1,1,mp018
,,,,,,,,,,,,,,,,,
212,214,m,r,m,p013,m,t013,l1,soldier,building,8,22583,word,308,1,1,mp013
,,,,,,,,,,,,,,,,,
213,215,m,n,n,t163,n,p163,l1,taxi,ronk,4,,nonword,550,1,1,nt163
,,,,,,,,,,,,,,,,,
214,216,m,u,m,p060,m,t059,l1,skier,victim,6,6630,word,316,1,1,mp060
,,,,,,,,,,,,,,,,,
215,217,m,u,u,t036,u,p036,l1,nightclub,blackboard,10,267,word,266,1,1,ut036
,,,,,,,,,,,,,,,,,
216,218,m,n,n,t112,n,p112,l1,hook,clert,5,,nonword,502,1,1,nt112
,,,,,,,,,,,,,,,,,
217,219,m,r,m,p011,m,t011,l1,contortionist,back,4,75243,word,361,1,1,mp011
,,,,,,,,,,,,,,,,,
218,220,m,u,m,p045,m,t044,l1,craftsman,hair,4,14128,word,278,1,1,mp045
,,,,,,,,,,,,,,,,,
219,221,m,u,u,t081,u,p081,l1,kingdom,submarine,9,744,word,465,1,1,ut081
,,,,,,,,,,,,,,,,,
220,222,m,u,m,p071,m,t070,l1,librarian,kid,3,5745,word,353,1,1,mp071
,,,,,,,,,,,,,,,,,
221,223,m,r,m,p030,m,t030,l1,druglord,cartel,6,423,nonword,318,1,1,mp030
