,comclip1.rat,comclip2.rat,comclip3.rat,comclip4.rat,comclip5.rat,comclip6.rat,comclip7.rat,comclip8.rat,comclip9.rat,comclip10.rat,statsclip1.rat,statsclip2.rat,statsclip3.rat,statsclip4.rat,statsclip5.rat,statsclip6.rat,statsclip7.rat,statsclip8.rat,statsclip9.rat,statsclip10.rat,comclip1.len,comclip2.len,comclip3.len,comclip4.len,comclip5.len,comclip6.len,comclip7.len,comclip8.len,comclip9.len,comclip10.len,statsclip1.len,statsclip2.len,statsclip3.len,statsclip4.len,statsclip5.len,statsclip6.len,statsclip7.len,statsclip8.len,statsclip9.len,statsclip10.len
22,3,4,4,4,3,3,4,4,3,3,3,2,2,3,4,3,2,3,1,5,78,83,53,72,76,73,69,73,63,74,75,85,83,77,70,75,87,81,94,66
23,3,3,3,2,4,4,4,2,3,5,2,3,4,3,4,3,5,3,4,4,85,84,85,90,74,62,70,86,76,56,85,84,66,92,64,75,55,73,65,63
24,4,4,4,3,3,5,2,4,2,5,1,2,4,5,1,4,3,2,4,4,72,67,67,98,62,68,83,65,85,56,108,78,68,70,92,73,68,90,77,70
25,3,3,4,3,4,4,3,2,3,3,4,3,4,3,2,2,2,4,2,4,71,82,65,66,66,68,86,81,94,65,81,81,69,74,80,95,85,64,87,63
26,2,5,3,3,3,5,4,4,3,1,1,5,3,2,2,3,4,4,3,2,82,66,88,74,70,51,67,67,92,109,99,68,66,90,90,82,64,57,85,100
27,4,4,3,1,3,3,2,5,4,2,4,4,1,3,4,3,5,3,4,3,72,67,82,95,71,80,91,53,67,85,63,66,87,77,82,70,62,86,66,64
28,2,3,1,4,3,3,4,4,2,4,3,2,4,3,4,3,3,4,3,5,82,82,96,71,69,89,55,75,83,61,76,89,65,82,57,86,77,72,80,45
29,5,2,3,3,3,4,2,3,4,3,2,3,3,1,1,4,3,3,2,3,71,83,66,76,75,84,89,73,74,81,80,71,88,114,112,73,81,78,88,86
30,4,3,3,3,3,2,4,5,3,2,4,3,3,4,2,2,4,3,4,4,71,76,77,79,69,94,62,61,62,82,77,77,78,65,71,78,63,84,70,65
31,5,3,2,3,2,3,1,2,4,2,4,3,1,4,4,5,1,3,3,1,70,70,102,73,81,80,101,88,66,87,72,80,111,64,68,59,90,69,78,98
32,2,5,3,4,5,4,5,2,3,3,2,3,3,3,2,4,2,3,2,4,99,52,84,64,49,83,68,69,76,84,90,81,86,75,74,67,75,86,94,74
33,3,3,2,3,1,4,5,3,5,4,5,3,2,3,4,4,2,3,3,4,72,71,83,108,106,84,60,86,60,57,58,74,102,69,80,77,81,75,78,63
34,3,4,3,2,3,2,3,5,3,4,2,4,2,2,3,4,3,3,3,4,77,71,86,88,59,95,84,50,77,66,85,60,90,76,72,57,70,70,92,60
35,3,4,3,2,2,3,5,5,2,3,3,4,5,3,3,1,2,3,4,2,71,81,76,75,91,84,58,57,79,70,66,69,54,87,84,100,86,89,84,99
36,2,3,4,4,3,3,1,2,1,2,5,2,3,3,4,2,2,4,1,3,103,82,74,58,70,68,90,86,101,91,57,100,73,63,65,84,88,70,103,83
37,5,5,3,4,2,4,1,5,4,3,4,2,4,3,4,4,4,2,3,3,62,53,81,61,89,72,83,59,66,73,70,83,59,65,66,61,76,98,84,71
38,1,4,4,3,3,1,1,4,2,2,2,1,4,3,2,3,2,3,3,3,97,61,71,79,87,86,80,76,91,79,85,97,70,74,83,81,95,71,74,72
39,4,1,1,4,2,4,3,2,5,3,5,4,3,3,2,1,4,2,3,2,74,94,92,63,83,60,72,91,47,86,68,58,82,90,84,82,73,83,79,68
40,3,3,2,3,6,2,3,3,4,4,3,3,3,3,2,3,4,2,2,1,69,83,94,82,61,84,77,87,70,68,69,82,80,82,77,89,79,91,81,97
