"subj" "subjNum" "expt" "order" "item" "itemNum" "verb" "attachment" "numorder" "cond" "pos" "text" "crit" "rt" "correct" "length" "words"
"7752" "subj13" 13 1 49 "item20" 20 "nonIC" "low" "pl" "nonIClow" 8 "continually" "RC_VERB+1" 281.01 1 11 1
"8146" "subj14" 14 1 27 "item1" 1 "nonIC" "low" "sg" "nonIClow" 8 "routinely" "RC_VERB+1" 434.66 1 9 1
"8159" "subj14" 14 1 39 "item2" 2 "IC" "high" "sg" "IChigh" 8 "definitely" "RC_VERB+1" 695.29 1 10 1
"8172" "subj14" 14 1 22 "item3" 3 "nonIC" "high" "sg" "nonIChigh" 8 "regularly" "RC_VERB+1" 577.91 1 9 1
"8196" "subj14" 14 1 50 "item5" 5 "nonIC" "low" "sg" "nonIClow" 8 "occasionally" "RC_VERB+1" 608.88 1 12 1
"8208" "subj14" 14 1 45 "item6" 6 "IC" "high" "sg" "IChigh" 8 "deeply" "RC_VERB+1" 576.25 1 6 1
"8221" "subj14" 14 1 63 "item7" 7 "nonIC" "high" "sg" "nonIChigh" 8 "supposedly" "RC_VERB+1" 474.67 1 10 1
"8233" "subj14" 14 1 15 "item8" 8 "IC" "low" "sg" "IClow" 8 "usually" "RC_VERB+1" 556 1 7 1
"8246" "subj14" 14 1 42 "item9" 9 "nonIC" "low" "sg" "nonIClow" 8 "often" "RC_VERB+1" 475.66 1 5 1
"8259" "subj14" 14 1 55 "item10" 10 "IC" "high" "sg" "IChigh" 8 "always" "RC_VERB+1" 392.76 1 6 1
"8271" "subj14" 14 1 47 "item11" 11 "nonIC" "high" "pl" "nonIChigh" 8 "recently" "RC_VERB+1" 467.57 1 8 1
"8284" "subj14" 14 1 34 "item12" 12 "IC" "low" "pl" "IClow" 8 "forever" "RC_VERB+1" 372.82 1 7 1
