age,educ,incom,train,quality,counsel,selfcon,counrep
2,3,80.90699507,1,14, ,16,0
2,3,40.94331174,0,14, ,12,0
3,1,30.60900875,0,6,0,5,1
3,1,38.98751406,0,12, ,18,0
3,1,71.71426931,0,10, ,17,0
3,1,50.12107429,0,11,0,14,1
3,1,18.90064426,1,12, ,15,0
3,1,91.13130228,1,13,1,24,1
3,1,52.78981951,1,12, ,17,0
3,1,33.25074883,1,12, ,26,0
3,1,97.73640486,0,10, ,15,0
3,1,30.03171178,1,10,1,14,1
3,2,54.20774893,1,9, ,9,0
3,2,65.63470708,0,14, ,12,0
3,2,54.99973106,0,9, ,8,0
3,2,42.42558877,0,6,0,8,1
3,2,50.73728035,0,11, ,15,0
3,2,69.77108274,1,16, ,13,0
3,2,57.14583995,0,16, ,17,0
3,2,41.70236403,1,15, ,17,0
3,2,78.02855811,1,13, ,14,0
3,2,28.30834576,0,9, ,13,0
3,2,42.9297514,0,10, ,7,0
3,2,55.42760883,0,7, ,5,0
3,2,87.32969579,1,17, ,20,0
3,2,37.89703647,0,12, ,13,0
3,2,19.53310901,1,11,1,16,1
3,2,32.18343693,0,14, ,8,0
3,2,65.26551985,0,12, ,16,0
3,2,40.50366056,1,13, ,15,0
3,3,68.55020829,0,13, ,10,0
3,3,48.0435061,1,13, ,22,0
3,3,84.58771559,1,12,1,17,1
3,3,83.14679579,1,16, ,14,0
3,3,74.09162724,1,11, ,20,0
3,3,92.75257712,1,12, ,23,0
3,3,69.99653701,0,14, ,10,0
3,3,32.78695851,0,13, ,16,0
3,3,64.76581845,0,9,0,9,1
3,3,29.6333246,0,7,0,10,1
3,3,59.44168119,0,7, ,4,0
3,3,95.85742594,0,11, ,6,0
3,3,67.70937105,0,20, ,15,0
3,3,52.88379729,1,13, ,18,0
3,3,62.32138723,0,10, ,14,0
3,3,44.79837882,0,11, ,14,0
3,3,79.63588118,0,21, ,19,0
3,3,106.7911221,0,11,0,10,1
3,3,58.9800344,0,7, ,12,0
3,3,80.37214533,0,13, ,17,0
3,3,66.60084127,0,11, ,14,0
3,3,24.16432808,0,16, ,17,0
